2025-05-04 15:35:32,397:INFO:About to download new driver from https://storage.googleapis.com/chrome-for-testing-public/135.0.7049.114/linux64/chromedriver-linux64.zip
2025-05-04 15:35:32,423:INFO:Driver downloading response is 200
2025-05-04 15:35:32,495:INFO:Get LATEST chromedriver version for google-chrome
2025-05-04 15:35:32,626:INFO:Driver has been saved in cache [/home/runner/.wdm/drivers/chromedriver/linux64/135.0.7049.114]
2025-05-04 15:35:40,426:INFO:Login Successful! Dashboard loaded.
2025-05-04 15:35:43,207:INFO:Redirected to jobs page
2025-05-04 15:35:45,010:INFO:Page 1: Scraped. 30 jobs.
2025-05-04 15:35:50,892:INFO:Page 2: Scraped. 60 jobs.
2025-05-04 15:35:56,706:INFO:Page 3: Scraped. 90 jobs.
2025-05-04 15:36:02,366:INFO:Page 4: Scraped. 120 jobs.
2025-05-04 15:36:06,899:INFO:Page 5: Scraped. 136 jobs.
2025-05-04 15:36:06,939:INFO:No more pages to scrape.
2025-05-04 15:36:07,028:INFO:Driver closed.
2025-05-04 15:36:07,028:INFO:Total jobs scraped: 136
2025-05-04 22:06:00,354:INFO:Initializing Extraction Process
2025-05-04 22:06:00,357:INFO:====== WebDriver manager ======
2025-05-04 22:06:00,470:INFO:Get LATEST chromedriver version for google-chrome
2025-05-04 22:06:04,580:INFO:Get LATEST chromedriver version for google-chrome
2025-05-04 22:06:06,489:INFO:Driver [/home/may/.wdm/drivers/chromedriver/linux64/133.0.6943.141/chromedriver-linux64/chromedriver] found in cache
2025-05-04 22:06:06,989:INFO:Scraping page 1: https://sg.jobsdb.com/Software-Developer-jobs?page=1
2025-05-04 22:06:45,048:WARNING:Missing element in card on page 1: Message: no such element: Unable to locate element: {"method":"css selector","selector":"div.badges div.content"}
  (Session info: chrome=133.0.6943.126); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
#0 0x577cf26be14a <unknown>
#1 0x577cf215bb80 <unknown>
#2 0x577cf21ad0e9 <unknown>
#3 0x577cf21ad271 <unknown>
#4 0x577cf21a0b36 <unknown>
#5 0x577cf21d2efd <unknown>
#6 0x577cf21a0a2a <unknown>
#7 0x577cf21d309e <unknown>
#8 0x577cf21f914a <unknown>
#9 0x577cf21d2ca3 <unknown>
#10 0x577cf219ef08 <unknown>
#11 0x577cf21a0071 <unknown>
#12 0x577cf2687b5b <unknown>
#13 0x577cf268bae2 <unknown>
#14 0x577cf2673967 <unknown>
#15 0x577cf268c6d4 <unknown>
#16 0x577cf2657c7f <unknown>
#17 0x577cf26accd8 <unknown>
#18 0x577cf26acea9 <unknown>
#19 0x577cf26bcfc6 <unknown>
#20 0x759602094ac3 <unknown>

2025-05-04 22:06:45,536:WARNING:Missing element in card on page 1: Message: no such element: Unable to locate element: {"method":"css selector","selector":"div.badges div.content"}
  (Session info: chrome=133.0.6943.126); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
#0 0x577cf26be14a <unknown>
#1 0x577cf215bb80 <unknown>
#2 0x577cf21ad0e9 <unknown>
#3 0x577cf21ad271 <unknown>
#4 0x577cf21a0b36 <unknown>
#5 0x577cf21d2efd <unknown>
#6 0x577cf21a0a2a <unknown>
#7 0x577cf21d309e <unknown>
#8 0x577cf21f914a <unknown>
#9 0x577cf21d2ca3 <unknown>
#10 0x577cf219ef08 <unknown>
#11 0x577cf21a0071 <unknown>
#12 0x577cf2687b5b <unknown>
#13 0x577cf268bae2 <unknown>
#14 0x577cf2673967 <unknown>
#15 0x577cf268c6d4 <unknown>
#16 0x577cf2657c7f <unknown>
#17 0x577cf26accd8 <unknown>
#18 0x577cf26acea9 <unknown>
#19 0x577cf26bcfc6 <unknown>
#20 0x759602094ac3 <unknown>

2025-05-04 22:06:45,627:WARNING:Missing element in card on page 1: Message: no such element: Unable to locate element: {"method":"css selector","selector":"div.badges div.content"}
  (Session info: chrome=133.0.6943.126); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
#0 0x577cf26be14a <unknown>
#1 0x577cf215bb80 <unknown>
#2 0x577cf21ad0e9 <unknown>
#3 0x577cf21ad271 <unknown>
#4 0x577cf21a0b36 <unknown>
#5 0x577cf21d2efd <unknown>
#6 0x577cf21a0a2a <unknown>
#7 0x577cf21d309e <unknown>
#8 0x577cf21f914a <unknown>
#9 0x577cf21d2ca3 <unknown>
#10 0x577cf219ef08 <unknown>
#11 0x577cf21a0071 <unknown>
#12 0x577cf2687b5b <unknown>
#13 0x577cf268bae2 <unknown>
#14 0x577cf2673967 <unknown>
#15 0x577cf268c6d4 <unknown>
#16 0x577cf2657c7f <unknown>
#17 0x577cf26accd8 <unknown>
#18 0x577cf26acea9 <unknown>
#19 0x577cf26bcfc6 <unknown>
#20 0x759602094ac3 <unknown>

2025-05-04 22:06:45,856:WARNING:Missing element in card on page 1: Message: no such element: Unable to locate element: {"method":"css selector","selector":"div.badges div.content"}
  (Session info: chrome=133.0.6943.126); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
#0 0x577cf26be14a <unknown>
#1 0x577cf215bb80 <unknown>
#2 0x577cf21ad0e9 <unknown>
#3 0x577cf21ad271 <unknown>
#4 0x577cf21a0b36 <unknown>
#5 0x577cf21d2efd <unknown>
#6 0x577cf21a0a2a <unknown>
#7 0x577cf21d309e <unknown>
#8 0x577cf21f914a <unknown>
#9 0x577cf21d2ca3 <unknown>
#10 0x577cf219ef08 <unknown>
#11 0x577cf21a0071 <unknown>
#12 0x577cf2687b5b <unknown>
#13 0x577cf268bae2 <unknown>
#14 0x577cf2673967 <unknown>
#15 0x577cf268c6d4 <unknown>
#16 0x577cf2657c7f <unknown>
#17 0x577cf26accd8 <unknown>
#18 0x577cf26acea9 <unknown>
#19 0x577cf26bcfc6 <unknown>
#20 0x759602094ac3 <unknown>

