title,category,company,location,country,min_salary,max_salary,avg_salary,currency,job_type,work_arrangement,level,date_posted,job_link,source
Web Developer (Software Developer),Software/Web Development,Myanmar Information Technology Pte. Ltd. (MIT),Yangon,MM,,Negotiable,,,,,,2025-02-15,https://www.jobnet.com.mm/job/web-developer-myanmar-information-technology-pte-ltd-mit/110861,jobnetmm
Senior Mobile Engineer (React Native),Software/Web Development,Wave Money,Yangon,MM,,Negotiable,,,,,Senior,2025-02-11,https://www.jobnet.com.mm/job/senior-mobile-engineer-react-native-wave-money/110741,jobnetmm
.Net Developer/ System Analyst,Infra & System,Dai-ichi Life Insurance Myanmar Ltd.,Yangon,MM,,Negotiable,,,,,,2025-02-11,https://www.jobnet.com.mm/job/net-developer-system-analyst-dai-ichi-life-insurance-myanmar-ltd/110705,jobnetmm
Business Solution Manager(SAP S4 Hana),SAP / ERP,Win Brothers Group of Companies Limited,Yangon,MM,,Negotiable,,,,,Manager,2025-02-10,https://www.jobnet.com.mm/job/business-solution-managersap-s4-hana-win-brothers-group-of-companies-limited/110674,jobnetmm
Senior Full-Stack Developer (Python),Software/Web Development,Ooredoo Myanmar,Yangon,MM,,Negotiable,,,,,Senior,2025-02-10,https://www.jobnet.com.mm/job/senior-full-stack-developer-python-ooredoo-myanmar/105865,jobnetmm
Senior Full-Stack Developer (Laravel),Software/Web Development,Ooredoo Myanmar,Yangon,MM,,Negotiable,,,,,Senior,2025-02-10,https://www.jobnet.com.mm/job/senior-full-stack-developer-laravel-ooredoo-myanmar/105863,jobnetmm
Senior Frontend Developer,Software/Web Development,Ooredoo Myanmar,Yangon,MM,,Negotiable,,,,,Senior,2025-02-09,https://www.jobnet.com.mm/job/senior-frontend-developer-ooredoo-myanmar/105867,jobnetmm
Deputy Chief Engineer (Solution Architect),Infra & System,"Global Technology Co.,Ltd (GlobalNet)",Yangon,MM,,Negotiable,,,,,,2025-02-07,https://www.jobnet.com.mm/job/deputy-chief-engineer-solution-architect-global-technology-co-ltd-globalnet/109003,jobnetmm
Senior Product Owner (Business Analyst),Project & Product Management,Capital Diamond Star Group (CDSG),Yangon,MM,,Negotiable,,,,,Senior,2025-02-06,https://www.jobnet.com.mm/job/senior-product-owner-capital-diamond-star-group-cdsg/110547,jobnetmm
Project Coordinator,Project & Product Management,"Cho Cho Co.,Ltd",Yangon,MM,,Negotiable,,,,,,2025-02-06,https://www.jobnet.com.mm/job/project-coordinator-cho-cho-co-ltd/110526,jobnetmm
Application Consultant,IT Consulting & Solutions,Myanmar Information Technology Pte. Ltd. (MIT),Yangon,MM,,Negotiable,,,,,,2025-02-05,https://www.jobnet.com.mm/job/application-consultant-myanmar-information-technology-pte-ltd-mit/110522,jobnetmm
IT Manager,Other,Myanmar International School Yangon,Yangon,MM,,Negotiable,,,,,Manager,2025-02-03,https://www.jobnet.com.mm/job/it-manager-myanmar-international-school-yangon/110371,jobnetmm
