title,category,company,location,country,min_salary,max_salary,avg_salary,currency,job_type,work_arrangement,level,date_posted,job_link,source
Facilities Engineer - 2 yrs contract (GC/SW),Software/Web Development,ST Engineering,Singapore,SG,2160,3600,2880,SGD,,,,2025-05-28,https://www.foundit.sg/job/facilities-engineer-2-yrs-contract-gc-sw-st-engineering-singapore-34964450,founditsg
Lead Engineer (DSC/TE/18031),Software/Web Development,ST Engineering,Singapore,SG,1440,2880,2160,SGD,,,,2025-05-28,https://www.foundit.sg/job/lead-engineer-dsc-te-18031-st-engineering-singapore-34964513,founditsg
Penetration Tester (DSC/JH),Quality Assurance & Testing,ST Engineering,Jurong East,SG,3600,7200,5400,SGD,,,,2025-05-28,https://www.foundit.sg/job/penetration-tester-dsc-jh-st-engineering-jurong-east-34964469,founditsg
DevSecOps Lead,Other,ST Engineering,West Coast,SG,8400,12000,10200,SGD,,,,2025-05-28,https://www.foundit.sg/job/devsecops-lead-st-engineering-west-coast-34963763,founditsg
System Engineer (DSC/TE/17916),Infra & System,ST Engineering,Jurong East,SG,1440,2880,2160,SGD,,,,2025-05-28,https://www.foundit.sg/job/system-engineer-dsc-te-17916-st-engineering-jurong-east-34964535,founditsg
Assistant Engineer (ILS) - DS/EZ,Software/Web Development,ST Engineering,Ang Mo Kio,SG,1440,2880,2160,SGD,,,,2025-05-28,https://www.foundit.sg/job/assistant-engineer-ils-ds-ez-st-engineering-ang-mo-kio-34964611,founditsg
Senior/ Data Engineer - DSC/EZ,Data & Analytics,ST Engineering,Singapore,SG,1440,2880,2160,SGD,,,,2025-05-28,https://www.foundit.sg/job/senior-data-engineer-dsc-ez-st-engineering-singapore-34964569,founditsg
Assistant Engineer - L1 Support (DS/EZ),Software/Web Development,ST Engineering,Singapore,SG,1440,2880,2160,SGD,,,,2025-05-28,https://www.foundit.sg/job/assistant-engineer-l1-support-ds-ez-st-engineering-singapore-34964565,founditsg
"Senior Executive, Operation and Cyber Security (Engineering)",Cybersecurity,ST Engineering,Jurong East,SG,2400,4800,3600,SGD,,,,2025-05-28,https://www.foundit.sg/job/senior-executive-operation-and-cyber-security-engineering-st-engineering-jurong-east-34965309,founditsg
Senior Technical Executive (GMAP / GMFM / FSM),Other,ST Engineering,West Coast,SG,12000,14400,13200,SGD,,,,2025-05-28,https://www.foundit.sg/job/senior-technical-executive-gmap-gmfm-fsm-st-engineering-west-coast-34965308,founditsg
"Senior Executive, Operation and Cyber Security (Engineering)",Cybersecurity,ST Engineering,West Coast,SG,2400,4800,3600,SGD,,,,2025-05-28,https://www.foundit.sg/job/senior-executive-operation-and-cyber-security-engineering-st-engineering-west-coast-34965306,founditsg
"Executive/Snr Executive, Internal Audit",Other,ST Engineering,Jurong East,SG,2880,4320,3600,SGD,,,,2025-05-28,https://www.foundit.sg/job/executive-snr-executive-internal-audit-st-engineering-jurong-east-34965239,founditsg
Senior Systems Engineer (DSC/CY/18553),Infra & System,ST Engineering,Jurong East,SG,2880,4320,3600,SGD,,,,2025-05-28,https://www.foundit.sg/job/senior-systems-engineer-dsc-cy-18553-st-engineering-jurong-east-34965129,founditsg
System Engineer (DSC/TE/17916),Infra & System,ST Engineering,Ang Mo Kio,SG,1440,2880,2160,SGD,,,,2025-05-28,https://www.foundit.sg/job/system-engineer-dsc-te-17916-st-engineering-ang-mo-kio-34964534,founditsg
System Engineer (DSC/TE/17916),Infra & System,ST Engineering,Singapore,SG,1440,2880,2160,SGD,,,,2025-05-28,https://www.foundit.sg/job/system-engineer-dsc-te-17916-st-engineering-singapore-34964478,founditsg
Senior/System Engineer - Entry level candidates welcome (DSC/EZ),Infra & System,ST Engineering,Singapore,SG,1440,2880,2160,SGD,,,,2025-05-28,https://www.foundit.sg/job/senior-system-engineer-entry-level-candidates-welcome-dsc-ez-st-engineering-singapore-34964536,founditsg
