title,company,location,salary,job_type,work_arrangement,date_posted,job_link,country,source
Senior IT Officer (MFI) (IT Support),Capital Diamond Star Group (CDSG),Yangon,Negotiable,,,14 May 2025,https://www.jobnet.com.mm/job/senior-it-officer-mfi-capital-diamond-star-group-cdsg/114257,MM,jobnetmm
ERP SAP O & M Support (A1 - FI) (Business Analyst),MPT - Myanma Posts & Telecommunications,Yangon,Negotiable,,,14 May 2025,https://www.jobnet.com.mm/job/erp-sap-o-and-m-support-a1-fi-mpt-myanma-posts-and-telecommunications/114255,MM,jobnetmm
Assistant IT Manager (IT Project Manager),YKKO,Yangon,Negotiable,,,14 May 2025,https://www.jobnet.com.mm/job/assistant-it-manager-ykko/114248,MM,jobnetmm
Site Reliability Engineer (L1),Wave Money,Yangon,Negotiable,,,13 May 2025,https://www.jobnet.com.mm/job/site-reliability-engineer-l1-wave-money/114242,MM,jobnetmm
IT Supervior (MD Office) (IT Support),"Focus Star Co.,Ltd",Yangon,Negotiable,,,13 May 2025,https://www.jobnet.com.mm/job/it-supervior-md-office-focus-star-co-ltd/113464,MM,jobnetmm
Information Security Engineer,POSCO Int'l Corporation(Myanmar E&P Office),Yangon,Negotiable,,,13 May 2025,https://www.jobnet.com.mm/job/information-security-engineer-posco-intl-corporationmyanmar-eandp-office/114203,MM,jobnetmm
Associate/ Junior Product Owner (Business Analyst),Capital Diamond Star Group (CDSG),Yangon,Negotiable,,,13 May 2025,https://www.jobnet.com.mm/job/associate-junior-product-owner-capital-diamond-star-group-cdsg/114197,MM,jobnetmm
IT Network Officer (Network Engineer ),Win Brothers Group of Companies Limited,Yangon,Negotiable,,,12 May 2025,https://www.jobnet.com.mm/job/it-network-officer-win-brothers-group-of-companies-limited/114144,MM,jobnetmm
Business Development Executive (IT Support),Talent Experts,Yangon,Negotiable,,,12 May 2025,https://www.jobnet.com.mm/job/business-development-executive-talent-experts/114128,MM,jobnetmm
IT Technician (IT Project Manager),PUMA POWER INTERNATIONAL COMPANY LIMITED,Mon State,"Up to 500,000 Ks",,,11 May 2025,https://www.jobnet.com.mm/job/it-technician-puma-power-international-company-limited/114126,MM,jobnetmm
Junior UAT Tester (Software Tester),KBZ Bank,Yangon,Negotiable,,,09 May 2025,https://www.jobnet.com.mm/job/junior-uat-tester-kbz-bank/114099,MM,jobnetmm
Product Manager (Fintech),"NearMe Co.,Ltd",Yangon,Negotiable,,,09 May 2025,https://www.jobnet.com.mm/job/product-manager-fintech-nearme-co-ltd/108125,MM,jobnetmm
Flutter Developer (Software Developer),Myanmar Information Technology Pte. Ltd. (MIT),Yangon,Negotiable,,,09 May 2025,https://www.jobnet.com.mm/job/flutter-developer-myanmar-information-technology-pte-ltd-mit/114075,MM,jobnetmm
Assistant Manager (Core-Banking Team) (Database Administrator ),SATHAPANA Limited Myanmar,Yangon,Negotiable,,,09 May 2025,https://www.jobnet.com.mm/job/assistant-manager-core-banking-team-sathapana-limited-myanmar/114071,MM,jobnetmm
