title,company,location,salary,job_type,work_arrangement,date_posted,job_link,country,source,category
Lead Engineer (DSC/TE/18031),ST Engineering,Singapore,"1,440-2,880 SGD",[],,11 hours ago,/job/lead-engineer-dsc-te-18031-st-engineering-singapore-34964513,SG,founditsg,['Software Engineer/Programmer']
Penetration Tester (DSC/JH),ST Engineering,Jurong East,"3,600-7,200 SGD",[],,11 hours ago,/job/penetration-tester-dsc-jh-st-engineering-jurong-east-34964469,SG,founditsg,['Software Engineer/Programmer']
DevSecOps Lead,ST Engineering,West Coast,"8,400-12,000 SGD",[],,14 hours ago,/job/devsecops-lead-st-engineering-west-coast-34963763,SG,founditsg,['Systems Engineer']
System Engineer (DSC/TE/17916),ST Engineering,Jurong East,"1,440-2,880 SGD",[],,11 hours ago,/job/system-engineer-dsc-te-17916-st-engineering-jurong-east-34964535,SG,founditsg,['Systems Engineer']
Assistant Engineer (ILS) - DS/EZ,ST Engineering,Ang Mo Kio,"1,440-2,880 SGD",[],,11 hours ago,/job/assistant-engineer-ils-ds-ez-st-engineering-ang-mo-kio-34964611,SG,founditsg,['Logistics - Head/Mgr']
Senior/ Data Engineer - DSC/EZ,ST Engineering,Singapore,"1,440-2,880 SGD",[],,11 hours ago,/job/senior-data-engineer-dsc-ez-st-engineering-singapore-34964569,SG,founditsg,['Data Analyst']
Assistant Engineer - L1 Support (DS/EZ),ST Engineering,Singapore,"1,440-2,880 SGD",[],,11 hours ago,/job/assistant-engineer-l1-support-ds-ez-st-engineering-singapore-34964565,SG,founditsg,['Software Engineer/Programmer']
"Senior Executive, Operation and Cyber Security (Engineering)",ST Engineering,Jurong East,"2,400-4,800 SGD",[],,8 hours ago,/job/senior-executive-operation-and-cyber-security-engineering-st-engineering-jurong-east-34965309,SG,founditsg,['System Analyst/Tech Architect']
Senior Technical Executive (GMAP / GMFM / FSM),ST Engineering,West Coast,"12,000-14,400 SGD",[],,8 hours ago,/job/senior-technical-executive-gmap-gmfm-fsm-st-engineering-west-coast-34965308,SG,founditsg,['ERP/CRM - Technical Consultant']
"Senior Executive, Operation and Cyber Security (Engineering)",ST Engineering,West Coast,"2,400-4,800 SGD",[],,8 hours ago,/job/senior-executive-operation-and-cyber-security-engineering-st-engineering-west-coast-34965306,SG,founditsg,['System Analyst/Tech Architect']
"Executive/Snr Executive, Internal Audit",ST Engineering,Jurong East,"2,880-4,320 SGD",[],,8 hours ago,/job/executive-snr-executive-internal-audit-st-engineering-jurong-east-34965239,SG,founditsg,['Internal Auditor']
Senior Systems Engineer (DSC/CY/18553),ST Engineering,Jurong East,"2,880-4,320 SGD",[],,9 hours ago,/job/senior-systems-engineer-dsc-cy-18553-st-engineering-jurong-east-34965129,SG,founditsg,['Systems Engineer']
System Engineer (DSC/TE/17916),ST Engineering,Ang Mo Kio,"1,440-2,880 SGD",[],,11 hours ago,/job/system-engineer-dsc-te-17916-st-engineering-ang-mo-kio-34964534,SG,founditsg,['Systems Engineer']
System Engineer (DSC/TE/17916),ST Engineering,Singapore,"1,440-2,880 SGD",[],,11 hours ago,/job/system-engineer-dsc-te-17916-st-engineering-singapore-34964478,SG,founditsg,['Systems Engineer']
Senior/System Engineer - Entry level candidates welcome (DSC/EZ),ST Engineering,Singapore,"1,440-2,880 SGD",[],,11 hours ago,/job/senior-system-engineer-entry-level-candidates-welcome-dsc-ez-st-engineering-singapore-34964536,SG,founditsg,['Software Engineer/Programmer']
Senior / Cloud Infrastructure Security Engineer - DS/EZ,ST Engineering,Jurong East,"1,440-2,880 SGD",[],,9 hours ago,/job/senior-cloud-infrastructure-security-engineer-ds-ez-st-engineering-jurong-east-34965125,SG,founditsg,['System Security - Engineer']
International Business Manager (DSC/TE/17300),ST Engineering,Singapore,"2,880-4,320 SGD",[],,9 hours ago,/job/international-business-manager-dsc-te-17300-st-engineering-singapore-34965127,SG,founditsg,['Business Development Executive']
Division Manager (DSC/TE),ST Engineering,Jurong East,"6,480-8,640 SGD",[],,9 hours ago,/job/division-manager-dsc-te-st-engineering-jurong-east-34965126,SG,founditsg,['Other Roles']
"Executive/Snr Executive, Internal Audit",ST Engineering,Singapore,"2,880-4,320 SGD",[],,9 hours ago,/job/executive-snr-executive-internal-audit-st-engineering-singapore-34965132,SG,founditsg,['Internal Auditor']
Assistant Engineer (ILS) - DS/EZ,ST Engineering,Jurong East,"1,440-2,880 SGD",[],,9 hours ago,/job/assistant-engineer-ils-ds-ez-st-engineering-jurong-east-34965128,SG,founditsg,['Logistics - Head/Mgr']
Software Engineer (DSC/CY/I2),ST Engineering,West Coast,"2,400-6,000 SGD",[],,12 hours ago,/job/software-engineer-dsc-cy-i2-st-engineering-west-coast-34964289,SG,founditsg,['Software Engineer/Programmer']
Software Engineer (DSC/CY/I2),ST Engineering,Jurong East,"2,400-6,000 SGD",[],,12 hours ago,/job/software-engineer-dsc-cy-i2-st-engineering-jurong-east-34964291,SG,founditsg,['Software Engineer/Programmer']
Senior Presales Solutions Engineer (DSC/CY/I2),ST Engineering,West Coast,"6,000-9,600 SGD",[],,12 hours ago,/job/senior-presales-solutions-engineer-dsc-cy-i2-st-engineering-west-coast-34964215,SG,founditsg,['Sales Exec/Sales Representative']
Software Engineer (Type Script/Java) DSC/TE/17522,ST Engineering,Singapore,"1,440-2,880 SGD",[],,11 hours ago,/job/software-engineer-type-script-java-dsc-te-17522-st-engineering-singapore-34964517,SG,founditsg,['Software Engineer/Programmer']
Senior Software Engineer / Lead (DSC/CY/I2),ST Engineering,West Coast,"2,400-6,000 SGD",[],,12 hours ago,/job/senior-software-engineer-lead-dsc-cy-i2-st-engineering-west-coast-34964149,SG,founditsg,['Software Engineer/Programmer']
Senior Software Engineer - DSC/MC,ST Engineering,North Buona Vista,"3,600-7,200 SGD",[],,14 hours ago,/job/senior-software-engineer-dsc-mc-st-engineering-north-buona-vista-34963806,SG,founditsg,['Software Engineer/Programmer']
Senior Software Engineer - DSC/MC,ST Engineering,Upper Changi North,"3,600-7,200 SGD",[],,14 hours ago,/job/senior-software-engineer-dsc-mc-st-engineering-upper-changi-north-34963830,SG,founditsg,['Software Engineer/Programmer']
Senior Software Engineer / Lead (DSC/CY/I2),ST Engineering,Jurong West,"2,400-6,000 SGD",[],,12 hours ago,/job/senior-software-engineer-lead-dsc-cy-i2-st-engineering-jurong-west-34964148,SG,founditsg,['Software Engineer/Programmer']
Senior Software Engineer - DSC/MC,ST Engineering,Ang Mo Kio,"3,600-7,200 SGD",[],,14 hours ago,/job/senior-software-engineer-dsc-mc-st-engineering-ang-mo-kio-34963829,SG,founditsg,['Software Engineer/Programmer']
Cloud Engineer - DSC/MC,ST Engineering,Ang Mo Kio,"3,600-7,200 SGD",[],,7 hours ago,/job/cloud-engineer-dsc-mc-st-engineering-ang-mo-kio-34965419,SG,founditsg,['Database Administrator (DBA)']
Cloud Engineer - DSC/MC,ST Engineering,Upper Changi North,"3,600-7,200 SGD",[],,7 hours ago,/job/cloud-engineer-dsc-mc-st-engineering-upper-changi-north-34965418,SG,founditsg,['Database Administrator (DBA)']
Senior Software Engineer - DS/EZ,ST Engineering,Singapore,"1,440-2,880 SGD",[],,12 hours ago,/job/senior-software-engineer-ds-ez-st-engineering-singapore-34964395,SG,founditsg,['Software Engineer/Programmer']
Senior Software Engineer - DSC/MC,ST Engineering,Ang Mo Kio,"3,600-7,200 SGD",[],,14 hours ago,/job/senior-software-engineer-dsc-mc-st-engineering-ang-mo-kio-34963809,SG,founditsg,['Software Engineer/Programmer']
Principal AI Engineer - Electrical / Embedded,ST Engineering,Singapore,"840-2,160 SGD",[],,14 hours ago,/job/principal-ai-engineer-electrical-embedded-st-engineering-singapore-34963873,SG,founditsg,['Electrical Engineer']
