title,company,location,salary,job_type,work_arrangement,date_posted,job_link,country,source
Reporting and Analytics Developer / Data Engineer,Infinite Computer Solutions Pte Ltd,"Singapore, Shenton Way, Tanjong Pagar","72,000-84,000 SGD",[],,4 days ago,/job/reporting-and-analytics-developer-data-engineer-infinite-computer-solutions-pte-ltd-singapore-shenton-way-tanjong-pagar-33811648,SG,founditsg
Cloud Developer,Infinite Computer Solutions Pte Ltd,"Singapore, Shenton Way","108,000-120,000 SGD",[],,4 days ago,/job/cloud-developer-infinite-computer-solutions-pte-ltd-singapore-shenton-way-33811659,SG,founditsg
.NET Developer Backend Developer,Avensys Consulting Pte Ltd,"Singapore, Ubi","57,600-86,400 SGD",['Contract Job'],,5 days ago,/job/net-developer-backend-developer-avensys-consulting-pte-ltd-singapore-ubi-33882039,SG,founditsg
Procurement Manager (IT),Atomic Recruitment Pte. Ltd,Robinson,108-108 SGD,[],,5 days ago,/job/procurement-manager-it-atomic-recruitment-pte-ltd-robinson-33553644,SG,founditsg
Solution Architect,Infinite Computer Solutions Pte Ltd,Singapore,"120,000-150,000 SGD",[],,4 days ago,/job/solution-architect-infinite-computer-solutions-pte-ltd-singapore-33811685,SG,founditsg
IT Intern,Nanyang Inc Pte Ltd,Geylang,"9,600-9,600 SGD",[],,5 days ago,/job/it-intern-nanyang-inc-pte-ltd-geylang-33861291,SG,founditsg
Delivery Manager,Total eBiz Solutions Pte Ltd,Singapore,"96,000-114,000 SGD",[],,5 days ago,/job/delivery-manager-total-ebiz-solutions-pte-ltd-singapore-33668023,SG,founditsg
SAP FICO / MM Consultant,Rapsys Technologies Pte Ltd,Singapore,"54,000-72,000 SGD",['Contract Job'],,5 days ago,/job/sap-fico-mm-consultant-rapsys-technologies-pte-ltd-singapore-33710523,SG,founditsg
Advance Response Agent,Rapsys Technologies Pte Ltd,"Liang Seah Street, Singapore","26,400-31,200 SGD",['Contract Job'],,5 days ago,/job/advance-response-agent-rapsys-technologies-pte-ltd-liang-seah-street-singapore-33710491,SG,founditsg
Data Centre Operator,Rapsys Technologies Pte Ltd,"Sin Ming, Singapore","28,800-33,600 SGD",['Contract Job'],,5 days ago,/job/data-centre-operator-rapsys-technologies-pte-ltd-sin-ming-singapore-33710518,SG,founditsg
Solution Sales Specialist,Sourceo Pte Ltd,Singapore,"96,000-120,000 SGD",[],,5 days ago,/job/solution-sales-specialist-sourceo-pte-ltd-singapore-33764778,SG,founditsg
Salesforce Solution Architect / Enterprise Tech Lead,Sourceo Pte Ltd,Singapore,"96,000-120,000 SGD",[],,5 days ago,/job/salesforce-solution-architect-enterprise-tech-lead-sourceo-pte-ltd-singapore-33764791,SG,founditsg
Site Reliability Engineering Senior Manager,Sourceo Pte Ltd,Singapore,"42,000-54,000 SGD",[],,5 days ago,/job/site-reliability-engineering-senior-manager-sourceo-pte-ltd-singapore-33764835,SG,founditsg
Software Architect,Rapsys Technologies Pte Ltd,"Liang Seah Street, Singapore","60,000-72,000 SGD",['Contract Job'],,5 days ago,/job/software-architect-rapsys-technologies-pte-ltd-liang-seah-street-singapore-33710561,SG,founditsg
Infra Architect,Rapsys Technologies Pte Ltd,Singapore,"84,000-108,000 SGD",[],,5 days ago,/job/infra-architect-rapsys-technologies-pte-ltd-singapore-33710575,SG,founditsg
Ansible Engineer - Playbook,Rapsys Technologies Pte Ltd,"Liang Seah Street, Singapore","66,000-96,000 SGD",['Contract Job'],,5 days ago,/job/ansible-engineer-playbook-rapsys-technologies-pte-ltd-liang-seah-street-singapore-33710581,SG,founditsg
Servicenow Developer,Rapsys Technologies Pte Ltd,"Liang Seah Street, Singapore","54,000-60,000 SGD",['Contract Job'],,5 days ago,/job/servicenow-developer-rapsys-technologies-pte-ltd-liang-seah-street-singapore-33710499,SG,founditsg
Technical Support,Rapsys Technologies Pte Ltd,Singapore,"28,800-33,600 SGD",['Contract Job'],,5 days ago,/job/technical-support-rapsys-technologies-pte-ltd-singapore-33710447,SG,founditsg
SAP HCM / HR Consultant,Avensys Consulting Pte Ltd,Singapore,"60,000-114,000 SGD",['Contract Job'],,5 days ago,/job/sap-hcm-hr-consultant-avensys-consulting-pte-ltd-singapore-33882347,SG,founditsg
SAP BRIM Functional Lead – FICA,Avensys Consulting Pte Ltd,"Singapore, Ubi","120,000-156,000 SGD",['Contract Job'],,5 days ago,/job/sap-brim-functional-lead-fica-avensys-consulting-pte-ltd-singapore-ubi-33882289,SG,founditsg
ServiceNow Consultant,Avensys Consulting Pte Ltd,"Singapore, Ubi","57,600-86,400 SGD",['Contract Job'],,5 days ago,/job/servicenow-consultant-avensys-consulting-pte-ltd-singapore-ubi-33882269,SG,founditsg
Salesforce Engineer,Avensys Consulting Pte Ltd,"Singapore, Ubi","70,800-106,200 SGD",['Contract Job'],,5 days ago,/job/salesforce-engineer-avensys-consulting-pte-ltd-singapore-ubi-33882267,SG,founditsg
Software Developer,U3 Infotech Pte Ltd,Singapore,"108,000-144,000 SGD",['Contract Job'],,5 days ago,/job/software-developer-u3-infotech-pte-ltd-singapore-33754476,SG,founditsg
Facilities Engineer (M&E),Anter Consulting Pte. Ltd,Singapore,"54,000-84,000 SGD",[],,4 days ago,/job/facilities-engineer-me-anter-consulting-pte-ltd-singapore-33804488,SG,founditsg
Data Engineer,U3 Infotech Pte Ltd,Singapore,"108,000-144,000 SGD",[],,5 days ago,/job/data-engineer-u3-infotech-pte-ltd-singapore-33754471,SG,founditsg
Data Center Operator,Infinite Computer Solutions Pte Ltd,"Singapore, Tampines","36,000-54,000 SGD",['Contract Job'],,4 days ago,/job/data-center-operator-infinite-computer-solutions-pte-ltd-singapore-tampines-33744634,SG,founditsg
IT Infrastructure Engineer,Total eBiz Solutions Pte Ltd,Singapore,"72,000-90,000 SGD",[],,5 days ago,/job/it-infrastructure-engineer-total-ebiz-solutions-pte-ltd-singapore-33668044,SG,founditsg
Business Analyst (Technical Writer),Total eBiz Solutions Pte Ltd,Singapore,"72,000-90,000 SGD",[],,5 days ago,/job/business-analyst-technical-writer-total-ebiz-solutions-pte-ltd-singapore-33668018,SG,founditsg
Software Developer,Intellect Minds Pte Ltd,Singapore,"96,000-117,600 SGD",[],,4 days ago,/job/software-developer-intellect-minds-pte-ltd-singapore-33754359,SG,founditsg
Data Analyst,Intellect Minds Pte Ltd,Singapore,"36,000-60,000 SGD",[],,4 days ago,/job/data-analyst-intellect-minds-pte-ltd-singapore-34014069,SG,founditsg
Data Analyst,Ambition Group Singapore Pte Ltd,Singapore,"44,400-48,000 SGD",['Contract Job'],,5 days ago,/job/data-analyst-ambition-group-singapore-pte-ltd-singapore-33862082,SG,founditsg
Business Analyst / Cloud / Java,Rapsys Technologies Pte Ltd,"Liang Seah Street, Singapore","54,000-84,000 SGD",['Contract Job'],,5 days ago,/job/business-analyst-cloud-java-rapsys-technologies-pte-ltd-liang-seah-street-singapore-33710567,SG,founditsg
Customer Care Support,U3 Infotech Pte Ltd,Singapore,"30,000-36,000 SGD",['Contract Job'],,5 days ago,/job/customer-care-support-u3-infotech-pte-ltd-singapore-33754472,SG,founditsg
Crypto Administrator,U3 Infotech Pte Ltd,Singapore,"66,000-93,600 SGD",['Contract Job'],,5 days ago,/job/crypto-administrator-u3-infotech-pte-ltd-singapore-33754480,SG,founditsg
Cloud Developer,U3 Infotech Pte Ltd,Singapore,"96,000-150,000 SGD",['Contract Job'],,5 days ago,/job/cloud-developer-u3-infotech-pte-ltd-singapore-33754338,SG,founditsg
EUC IT Engineer,Nanyang Inc Pte Ltd,Geylang,"27,600-40,800 SGD",[],,5 days ago,/job/euc-it-engineer-nanyang-inc-pte-ltd-geylang-33662287,SG,founditsg
IT Sales Executive,Nanyang Inc Pte Ltd,Geylang,"36,000-54,000 SGD",[],,5 days ago,/job/it-sales-executive-nanyang-inc-pte-ltd-geylang-33662286,SG,founditsg
Budget & Planning Consultant - Application Development,Rapsys Technologies Pte Ltd,Singapore,"84,000-114,000 SGD",[],,5 days ago,/job/budget-planning-consultant-application-development-rapsys-technologies-pte-ltd-singapore-33710492,SG,founditsg
IOT Field Service Technician,Rapsys Technologies Pte Ltd,Singapore,"72,000-90,000 SGD",[],,5 days ago,/job/iot-field-service-technician-rapsys-technologies-pte-ltd-singapore-33710465,SG,founditsg
Data Platform Engineer - Support,Zenith Infotech (S) Pte Ltd,Singapore,"90,000-108,000 SGD",['Contract Job'],,5 days ago,/job/data-platform-engineer-support-zenith-infotech-s-pte-ltd-singapore-33811634,SG,founditsg
C++ with Embedded,Total eBiz Solutions Pte Ltd,Singapore,108-108 SGD,[],,5 days ago,/job/c-with-embedded-total-ebiz-solutions-pte-ltd-singapore-33772715,SG,founditsg
Solution Architect (Cloud),U3 Infotech Pte Ltd,Singapore,"96,000-168,000 SGD",['Contract Job'],,5 days ago,/job/solution-architect-cloud-u3-infotech-pte-ltd-singapore-33754335,SG,founditsg
Project Administrator,Pan-Asia Resources Pte Ltd,Singapore,"36,000-43,200 SGD",['Contract Job'],,4 days ago,/job/project-administrator-pan-asia-resources-pte-ltd-singapore-33738858,SG,founditsg
Data Engineer,Intellect Minds Pte Ltd,Singapore,"72,000-96,000 SGD",[],,4 days ago,/job/data-engineer-intellect-minds-pte-ltd-singapore-33754495,SG,founditsg
Security Engineer,Total eBiz Solutions Pte Ltd,Singapore,"96,000-114,000 SGD",['Contract Job'],,5 days ago,/job/security-engineer-total-ebiz-solutions-pte-ltd-singapore-34847873,SG,founditsg
Frontend Developer,R Systems Singapore Pte Ltd,"Bukit Merah, Jalan Bukit Merah","60,000-84,000 SGD",['Contract Job'],,4 days ago,/job/frontend-developer-r-systems-singapore-pte-ltd-bukit-merah-jalan-bukit-merah-33521499,SG,founditsg
AWS Cloud Engineer,Infinite Computer Solutions Pte Ltd,"Shenton Way, Tanjong Pagar","108,000-126,000 SGD",[],,4 days ago,/job/aws-cloud-engineer-infinite-computer-solutions-pte-ltd-shenton-way-tanjong-pagar-33512742,SG,founditsg
Senior Solutions Engineer,Anter Consulting Pte. Ltd,Singapore,"84,000-144,000 SGD",[],,4 days ago,/job/senior-solutions-engineer-anter-consulting-pte-ltd-singapore-33772863,SG,founditsg
Network Technical Delivery Architect (Post Sales),Avensys Consulting Pte Ltd,Singapore,"120,000-156,000 SGD",[],,5 days ago,/job/network-technical-delivery-architect-post-sales-avensys-consulting-pte-ltd-singapore-33882297,SG,founditsg
Commissioning Manager,Anter Consulting Pte. Ltd,Singapore,"120,000-180,000 SGD",[],,4 days ago,/job/commissioning-manager-anter-consulting-pte-ltd-singapore-33804489,SG,founditsg
Commissioning Engineer,Anter Consulting Pte. Ltd,Singapore,"84,000-144,000 SGD",[],,4 days ago,/job/commissioning-engineer-anter-consulting-pte-ltd-singapore-33804495,SG,founditsg
Software Technical Consultant  ,Total eBiz Solutions Pte Ltd,Singapore,108-108 SGD,[],,5 days ago,/job/software-technical-consultant-total-ebiz-solutions-pte-ltd-singapore-33772708,SG,founditsg
Software Consultant,Intellect Minds Pte Ltd,Singapore,"102,000-120,000 SGD",[],,4 days ago,/job/software-consultant-intellect-minds-pte-ltd-singapore-33754491,SG,founditsg
IT System / Business Analysts,Rapsys Technologies Pte Ltd,Singapore,"72,000-108,000 SGD",[],,5 days ago,/job/it-system-business-analysts-rapsys-technologies-pte-ltd-singapore-33710576,SG,founditsg
AWS Data Engineer,R Systems Singapore Pte Ltd,"Bukit Merah, Jalan Bukit Merah","36,000-60,000 SGD",['Contract Job'],,4 days ago,/job/aws-data-engineer-r-systems-singapore-pte-ltd-bukit-merah-jalan-bukit-merah-33521506,SG,founditsg
Product Manager,Total eBiz Solutions Pte Ltd,Singapore,"72,000-90,000 SGD",[],,5 days ago,/job/product-manager-total-ebiz-solutions-pte-ltd-singapore-33668015,SG,founditsg
"Solution Architect_SD-WAN design, CCIE",Avensys Consulting Pte Ltd,"Singapore, Ubi","120,000-156,000 SGD",[],,5 days ago,/job/solution-architectsd-wan-design-ccie-avensys-consulting-pte-ltd-singapore-ubi-33882268,SG,founditsg
Technical Writer,Infinite Computer Solutions Pte Ltd,"Shenton Way, Tanjong Pagar","90,000-108,000 SGD",[],,4 days ago,/job/technical-writer-infinite-computer-solutions-pte-ltd-shenton-way-tanjong-pagar-33512741,SG,founditsg
Automation Engineer,Anter Consulting Pte. Ltd,Singapore,"84,000-120,000 SGD",['Contract Job'],,4 days ago,/job/automation-engineer-anter-consulting-pte-ltd-singapore-33772854,SG,founditsg
VISUAL / UI DESIGNER,Total eBiz Solutions Pte Ltd,Singapore,"60,000-78,000 SGD",[],,5 days ago,/job/visual-ui-designer-total-ebiz-solutions-pte-ltd-singapore-33668035,SG,founditsg
Network Security Specialist (PSO),Intellect Minds Pte Ltd,Singapore,"84,000-102,000 SGD",[],,4 days ago,/job/network-security-specialist-pso-intellect-minds-pte-ltd-singapore-33754492,SG,founditsg
IT - Infra and Network Project Manager,R Systems Singapore Pte Ltd,"Bukit Merah, Jalan Bukit Merah","84,000-108,000 SGD",[],,4 days ago,/job/it-infra-and-network-project-manager-r-systems-singapore-pte-ltd-bukit-merah-jalan-bukit-merah-33521354,SG,founditsg
Project Engineer (IT Security / GRC) Perm Role,Zenith Infotech (S) Pte Ltd,Singapore,"60,000-78,000 SGD",[],,5 days ago,/job/project-engineer-it-security-grc-perm-role-zenith-infotech-s-pte-ltd-singapore-33772812,SG,founditsg
Senior information system engineer,Intellect Minds Pte Ltd,Singapore,"96,000-118,800 SGD",[],,4 days ago,/job/senior-information-system-engineer-intellect-minds-pte-ltd-singapore-33754362,SG,founditsg
Solution Architect (.Net),Infinite Computer Solutions Pte Ltd,"Shenton Way, Tanjong Pagar","144,000-168,000 SGD",[],,4 days ago,/job/solution-architect-net-infinite-computer-solutions-pte-ltd-shenton-way-tanjong-pagar-33512503,SG,founditsg
Data Engineer - 6 months contract,Zenith Infotech (S) Pte Ltd,Singapore,"72,000-78,000 SGD",['Contract Job'],,5 days ago,/job/data-engineer-6-months-contract-zenith-infotech-s-pte-ltd-singapore-33772797,SG,founditsg
Infrastructure Project Manager,Infinite Computer Solutions Pte Ltd,"Shenton Way, Tanjong Pagar","132,000-150,000 SGD",[],,4 days ago,/job/infrastructure-project-manager-infinite-computer-solutions-pte-ltd-shenton-way-tanjong-pagar-33512501,SG,founditsg
Performance Tester,Avensys Consulting Pte Ltd,Singapore,"63,600-96,000 SGD",['Contract Job'],,5 days ago,/job/performance-tester-avensys-consulting-pte-ltd-singapore-33882313,SG,founditsg
Network Engineer,Infinite Computer Solutions Pte Ltd,"West Coast, Serangoon Central / Garden","60,000-72,000 SGD",[],,4 days ago,/job/network-engineer-infinite-computer-solutions-pte-ltd-west-coast-serangoon-central-garden-33512502,SG,founditsg
System Engineer - IT,Rapsys Technologies Pte Ltd,Singapore,"48,000-54,000 SGD",[],,5 days ago,/job/system-engineer-it-rapsys-technologies-pte-ltd-singapore-33710519,SG,founditsg
Trade Finance Senior Business Analyst_CGI,Avensys Consulting Pte Ltd,"Singapore, Ubi","72,000-84,000 SGD",['Contract Job'],,5 days ago,/job/trade-finance-senior-business-analystcgi-avensys-consulting-pte-ltd-singapore-ubi-33882279,SG,founditsg
Dot Net Developer (SPD),U3 Infotech Pte Ltd,Singapore,"84,000-128,400 SGD",['Contract Job'],,5 days ago,/job/dot-net-developer-spd-u3-infotech-pte-ltd-singapore-33754481,SG,founditsg
Recruiter – Technology (RPO),Avensys Consulting Pte Ltd,Singapore,"60,000-96,000 SGD",[],,5 days ago,/job/recruiter-technology-rpo-avensys-consulting-pte-ltd-singapore-33882302,SG,founditsg
Data Analyst,U3 Infotech Pte Ltd,Singapore,"84,000-120,000 SGD",['Contract Job'],,5 days ago,/job/data-analyst-u3-infotech-pte-ltd-singapore-33754336,SG,founditsg
Dev Ops Engineer,Pan-Asia Resources Pte Ltd,Singapore,"72,000-90,000 SGD",['Contract Job'],,4 days ago,/job/dev-ops-engineer-pan-asia-resources-pte-ltd-singapore-33811687,SG,founditsg
ServiceNow Consultant,Avensys Consulting Pte Ltd,"Singapore, Ubi","96,000-120,000 SGD",[],,5 days ago,/job/servicenow-consultant-avensys-consulting-pte-ltd-singapore-ubi-33882280,SG,founditsg
L2 - Production Support,Avensys Consulting Pte Ltd,Singapore,"36,000-72,000 SGD",['Contract Job'],,5 days ago,/job/l2-production-support-avensys-consulting-pte-ltd-singapore-33882290,SG,founditsg
Junior L2 Production Support,Avensys Consulting Pte Ltd,Singapore,"36,000-72,000 SGD",['Contract Job'],,5 days ago,/job/junior-l2-production-support-avensys-consulting-pte-ltd-singapore-33882333,SG,founditsg
Pega Agile Engineer - Contract - 12 / 24 months,Zenith Infotech (S) Pte Ltd,Singapore,"36,000-72,000 SGD",['Contract Job'],,5 days ago,/job/pega-agile-engineer-contract-12-24-months-zenith-infotech-s-pte-ltd-singapore-33772826,SG,founditsg
Technical Project Manager,Avensys Consulting Pte Ltd,"Singapore, Ubi","96,000-114,000 SGD",['Contract Job'],,5 days ago,/job/technical-project-manager-avensys-consulting-pte-ltd-singapore-ubi-33882038,SG,founditsg
ERP Project Manager,Intellect Minds Pte Ltd,Singapore,"96,000-132,000 SGD",[],,4 days ago,/job/erp-project-manager-intellect-minds-pte-ltd-singapore-33754360,SG,founditsg
BUSINESS ANALYST,Total eBiz Solutions Pte Ltd,Singapore,"60,000-78,000 SGD",[],,5 days ago,/job/business-analyst-total-ebiz-solutions-pte-ltd-singapore-33668036,SG,founditsg
